COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,8.56,Units
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,3.11,Units
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.38,Units
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.00,Units
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.80,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-2.37,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,4.84,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.63,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.98,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,3.67,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.31,Units
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-2.78,
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,1.20,
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-1.10,
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,-3.99,
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,3.00,
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.53,
